year,name,sumrelig,pop,religions,relpop,othr,sumreligion,total
1945,AFG,8426140,8449000,chrst,210,8425930,8426140,1
1945,AFG,8426140,8449000,jud,642,8425498,8426140,1
1945,AFG,8426140,8449000,islm,8391998,34142,8426140,1
1945,AFG,8426140,8449000,bud,1926,8424214,8426140,1
1945,AFG,8426140,8449000,zoro,2592,8423548,8426140,1
1945,AFG,8426140,8449000,hind,3304,8422836,8426140,1
1945,AFG,8426140,8449000,sikh,2175,8423965,8426140,1
1945,AFG,8426140,8449000,shnt,0,8426140,8426140,1
1945,AFG,8426140,8449000,bah,0,8426140,8426140,1
1945,AFG,8426140,8449000,tao,0,8426140,8426140,1
1945,AFG,8426140,8449000,jain,0,8426140,8426140,1
1945,AFG,8426140,8449000,conf,0,8426140,8426140,1
1945,AFG,8426140,8449000,sync,0,8426140,8426140,1
1945,AFG,8426140,8449000,anm,22946,8403194,8426140,1
1945,AFG,8426140,8449000,nonrelig,347,8425793,8426140,1
1945,AFG,8426140,8449000,othr,22860,8403280,8426140,1
1945,ALB,1121284,1122000,chrst,375404,745880,1121284,1
1945,ALB,1121284,1122000,jud,589,1120695,1121284,1
1945,ALB,1121284,1122000,islm,744990,376294,1121284,1
1945,ALB,1121284,1122000,bud,0,1121284,1121284,1
1945,ALB,1121284,1122000,zoro,0,1121284,1121284,1
1945,ALB,1121284,1122000,hind,0,1121284,1121284,1
1945,ALB,1121284,1122000,sikh,0,1121284,1121284,1
1945,ALB,1121284,1122000,shnt,0,1121284,1121284,1
1945,ALB,1121284,1122000,bah,0,1121284,1121284,1
1945,ALB,1121284,1122000,tao,0,1121284,1121284,1
1945,ALB,1121284,1122000,jain,0,1121284,1121284,1
1945,ALB,1121284,1122000,conf,0,1121284,1121284,1
1945,ALB,1121284,1122000,sync,0,1121284,1121284,1
1945,ALB,1121284,1122000,anm,0,1121284,1121284,1
1945,ALB,1121284,1122000,nonrelig,301,1120983,1121284,1
1945,ALB,1121284,1122000,othr,716,1120568,1121284,1
1945,ARG,15399926,15400000,chrst,15150266,249660,15399926,1
1945,ARG,15399926,15400000,jud,249660,15150266,15399926,1
1945,ARG,15399926,15400000,islm,0,15399926,15399926,1
1945,ARG,15399926,15400000,bud,0,15399926,15399926,1
1945,ARG,15399926,15400000,zoro,0,15399926,15399926,1
1945,ARG,15399926,15400000,hind,0,15399926,15399926,1
1945,ARG,15399926,15400000,sikh,0,15399926,15399926,1
1945,ARG,15399926,15400000,shnt,0,15399926,15399926,1
1945,ARG,15399926,15400000,bah,0,15399926,15399926,1
1945,ARG,15399926,15400000,tao,0,15399926,15399926,1
1945,ARG,15399926,15400000,jain,0,15399926,15399926,1
1945,ARG,15399926,15400000,conf,0,15399926,15399926,1
1945,ARG,15399926,15400000,sync,0,15399926,15399926,1
1945,ARG,15399926,15400000,anm,0,15399926,15399926,1
1945,ARG,15399926,15400000,nonrelig,0,15399926,15399926,1
1945,ARG,15399926,15400000,othr,74,15399852,15399926,1
1945,AUL,7376031,7392000,chrst,7079273,296758,7376031,1
1945,AUL,7376031,7392000,jud,25298,7350733,7376031,1
1945,AUL,7376031,7392000,islm,16499,7359532,7376031,1
1945,AUL,7376031,7392000,bud,9543,7366488,7376031,1
1945,AUL,7376031,7392000,zoro,0,7376031,7376031,1
1945,AUL,7376031,7392000,hind,0,7376031,7376031,1
1945,AUL,7376031,7392000,sikh,669,7375362,7376031,1
1945,AUL,7376031,7392000,shnt,0,7376031,7376031,1
1945,AUL,7376031,7392000,bah,333,7375698,7376031,1
1945,AUL,7376031,7392000,tao,0,7376031,7376031,1
1945,AUL,7376031,7392000,jain,0,7376031,7376031,1
1945,AUL,7376031,7392000,conf,0,7376031,7376031,1
1945,AUL,7376031,7392000,sync,16692,7359339,7376031,1
1945,AUL,7376031,7392000,anm,14108,7361923,7376031,1
1945,AUL,7376031,7392000,nonrelig,213616,7162415,7376031,1
1945,AUL,7376031,7392000,othr,15969,7360062,7376031,1
1945,BEL,8214127,8344000,chrst,8149719,64408,8214127,1
1945,BEL,8214127,8344000,jud,19809,8194318,8214127,1
1945,BEL,8214127,8344000,islm,0,8214127,8214127,1
1945,BEL,8214127,8344000,bud,0,8214127,8214127,1
1945,BEL,8214127,8344000,zoro,0,8214127,8214127,1
1945,BEL,8214127,8344000,hind,0,8214127,8214127,1
1945,BEL,8214127,8344000,sikh,0,8214127,8214127,1
1945,BEL,8214127,8344000,shnt,0,8214127,8214127,1
1945,BEL,8214127,8344000,bah,0,8214127,8214127,1
1945,BEL,8214127,8344000,tao,0,8214127,8214127,1
1945,BEL,8214127,8344000,jain,0,8214127,8214127,1
1945,BEL,8214127,8344000,conf,0,8214127,8214127,1
1945,BEL,8214127,8344000,sync,0,8214127,8214127,1
1945,BEL,8214127,8344000,anm,0,8214127,8214127,1
1945,BEL,8214127,8344000,nonrelig,44599,8169528,8214127,1
1945,BEL,8214127,8344000,othr,129873,8084254,8214127,1
1945,BOL,2558000,2850000,chrst,2558000,0,2558000,1
1945,BOL,2558000,2850000,jud,0,2558000,2558000,1
1945,BOL,2558000,2850000,islm,0,2558000,2558000,1
1945,BOL,2558000,2850000,bud,0,2558000,2558000,1
1945,BOL,2558000,2850000,zoro,0,2558000,2558000,1
1945,BOL,2558000,2850000,hind,0,2558000,2558000,1
1945,BOL,2558000,2850000,sikh,0,2558000,2558000,1
1945,BOL,2558000,2850000,shnt,0,2558000,2558000,1
1945,BOL,2558000,2850000,bah,0,2558000,2558000,1
1945,BOL,2558000,2850000,tao,0,2558000,2558000,1
1945,BOL,2558000,2850000,jain,0,2558000,2558000,1
1945,BOL,2558000,2850000,conf,0,2558000,2558000,1
1945,BOL,2558000,2850000,sync,0,2558000,2558000,1
1945,BOL,2558000,2850000,anm,0,2558000,2558000,1
1945,BOL,2558000,2850000,nonrelig,0,2558000,2558000,1
1945,BOL,2558000,2850000,othr,292000,2266000,2558000,1
1945,BRA,46132220,46215000,chrst,45845588,286632,46132220,1
1945,BRA,46132220,46215000,jud,34978,46097242,46132220,1
1945,BRA,46132220,46215000,islm,0,46132220,46132220,1
1945,BRA,46132220,46215000,bud,114536,46017684,46132220,1
1945,BRA,46132220,46215000,zoro,0,46132220,46132220,1
1945,BRA,46132220,46215000,hind,0,46132220,46132220,1
1945,BRA,46132220,46215000,sikh,0,46132220,46132220,1
1945,BRA,46132220,46215000,shnt,0,46132220,46132220,1
1945,BRA,46132220,46215000,bah,0,46132220,46132220,1
1945,BRA,46132220,46215000,tao,0,46132220,46132220,1
1945,BRA,46132220,46215000,jain,0,46132220,46132220,1
1945,BRA,46132220,46215000,conf,0,46132220,46132220,1
1945,BRA,46132220,46215000,sync,0,46132220,46132220,1
1945,BRA,46132220,46215000,anm,0,46132220,46132220,1
1945,BRA,46132220,46215000,nonrelig,137118,45995102,46132220,1
1945,BRA,46132220,46215000,othr,82780,46049440,46132220,1
1945,BUL,6938349,6940000,chrst,5948011,990338,6938349,1
1945,BUL,6938349,6940000,jud,43336,6895013,6938349,1
1945,BUL,6938349,6940000,islm,935418,6002931,6938349,1
1945,BUL,6938349,6940000,bud,39,6938310,6938349,1
1945,BUL,6938349,6940000,zoro,0,6938349,6938349,1
1945,BUL,6938349,6940000,hind,0,6938349,6938349,1
1945,BUL,6938349,6940000,sikh,0,6938349,6938349,1
1945,BUL,6938349,6940000,shnt,0,6938349,6938349,1
1945,BUL,6938349,6940000,bah,0,6938349,6938349,1
1945,BUL,6938349,6940000,tao,0,6938349,6938349,1
1945,BUL,6938349,6940000,jain,0,6938349,6938349,1
1945,BUL,6938349,6940000,conf,0,6938349,6938349,1
1945,BUL,6938349,6940000,sync,0,6938349,6938349,1
1945,BUL,6938349,6940000,anm,0,6938349,6938349,1
1945,BUL,6938349,6940000,nonrelig,11545,6926804,6938349,1
1945,BUL,6938349,6940000,othr,1651,6936698,6938349,1
1945,CAN,10839717,11506655,chrst,10531961,307756,10839717,1
1945,CAN,10839717,11506655,jud,176690,10663027,10839717,1
1945,CAN,10839717,11506655,islm,0,10839717,10839717,1
1945,CAN,10839717,11506655,bud,115066,10724651,10839717,1
1945,CAN,10839717,11506655,zoro,0,10839717,10839717,1
1945,CAN,10839717,11506655,hind,0,10839717,10839717,1
1945,CAN,10839717,11506655,sikh,5000,10834717,10839717,1
1945,CAN,10839717,11506655,shnt,0,10839717,10839717,1
1945,CAN,10839717,11506655,bah,0,10839717,10839717,1
1945,CAN,10839717,11506655,tao,0,10839717,10839717,1
1945,CAN,10839717,11506655,jain,0,10839717,10839717,1
1945,CAN,10839717,11506655,conf,0,10839717,10839717,1
1945,CAN,10839717,11506655,sync,11000,10828717,10839717,1
1945,CAN,10839717,11506655,anm,0,10839717,10839717,1
1945,CAN,10839717,11506655,nonrelig,0,10839717,10839717,1
1945,CAN,10839717,11506655,othr,666938,10172779,10839717,1
1945,CHL,5148592,5540000,chrst,5094592,54000,5148592,1
1945,CHL,5148592,5540000,jud,4000,5144592,5148592,1
1945,CHL,5148592,5540000,islm,0,5148592,5148592,1
1945,CHL,5148592,5540000,bud,0,5148592,5148592,1
