year,name,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,chrstgen,judorth,jdcons,judref,judothr,judgen,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,islmgen,budmah,budthr,budothr,budgen,zorogen,hindgen,sikhgen,shntgen,bahgen,taogen,jaingen,confgen,syncgen,anmgen,nonrelig,othrgen,sumrelig,pop
1945,USA,66069671,38716742,1121898,2400000,1956807,110265118,821489,1364508,1902885,552300,4641182,0,0,0,0,0,0,0,0,0,0,1601218,1601218,0,0,0,0,0,0,0,0,0,0,22874544,545938,139382062,139928000
1950,USA,73090083,42635882,3045420,3045420,1177214,122994019,1078078,1790706,2497244,724809,6090837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22568130,618022,151652986,152271008
1955,USA,79294628,46402368,3454916,2572767,2277091,134001770,944000,1568000,2186666,634666,5333332,0,0,0,0,0,0,0,0,0,0,90173,90173,0,0,0,0,0,0,0,0,0,0,23303540,3202185,162728815,165931000
1960,USA,90692928,50587880,3334535,2710065,2908939,150234347,973500,1617000,2255000,654500,5500000,0,0,0,0,0,0,0,0,0,0,2012131,2012131,0,0,0,0,0,0,0,0,0,0,21548225,1376297,179294703,180671000
1965,USA,94165803,64761783,4792868,2822149,973155,167515758,991200,1646400,2296000,666400,5600000,0,0,0,0,0,0,0,0,0,0,1080892,1080892,0,0,0,0,0,0,0,0,0,0,19852362,581988,194049012,194631000
1970,USA,93918347,69119143,5498914,3030647,1300000,172867051,1088550,1808100,2521500,731850,6150000,0,0,0,0,0,0,0,0,0,0,1113861,1113861,0,0,0,0,90247,0,0,0,0,0,20474592,10249,200695751,200706000
1975,USA,93578909,77181399,6651649,3239145,2159430,182810532,1185900,1969800,2747000,797300,6700000,0,0,0,0,0,0,0,0,0,0,1019556,1019556,0,159778,1597,0,220494,0,0,0,0,0,24789671,241372,215701628,215943000
1980,USA,101216516,75149580,4677202,3576566,2030000,186649864,1284843,2134146,2976190,863821,7259000,2407464,254121,0,0,0,4975,0,2666560,0,0,1357967,1357967,0,995149,0,0,0,89563,0,0,0,59708,26813635,1834554,225891446,227726000
1985,USA,107309700,82463100,5245662,3576990,1192330,199787782,1352280,2146160,3132400,879160,7510000,2186675,298183,0,0,0,0,0,2484858,0,0,1984325,1984325,0,1005000,0,0,0,0,0,0,0,0,25396899,297136,238168864,238466000
1990,USA,132040181,65530789,6715078,4334627,5804487,214425162,975005,1619500,2258487,655512,5508504,2019386,275371,0,0,0,0,0,2294757,0,0,1575481,1575481,52301,323352,18517,59724,887961,100408,6410,0,0,78345,24413914,162164,249744836,249907000
1995,USA,123669458,70308695,6639161,4476661,10500000,215593975,930925,1546282,2156380,625876,5259463,2134332,291045,0,0,0,0,0,2425377,0,0,1608346,1608346,758150,574269,47402,57972,672364,55771,6684,39248,270915,219079,34475517,690468,262064532,262755000
2000,USA,115298736,75086601,6563244,4618694,18251030,219818305,886845,1473065,2054274,596240,5010424,2249277,306720,0,0,0,0,0,2555997,808358,0,1641211,2449569,1464000,825186,76286,56220,456767,11134,6959,78497,541831,359813,44537120,108892,278248108,278357000
2005,USA,117527349,76742245,6800059,4733159,20661993,226464805,979982,1627767,2270015,658858,5536622,2363129,322245,0,0,0,0,0,2685374,858297,0,2824397,3682694,1554443,1311442,269862,60560,456767,11134,79459,86656,672506,1066695,51781800,175181,295720819,295896000
2010,USA,119755961,78397889,7036875,4847625,23072957,233111307,1051778,1747021,2436322,707127,5942248,2476980,337770,0,0,0,0,0,2814750,908236,0,2502000,3410236,1644887,1797698,406908,156375,482784,11768,83984,91591,803181,1773577,59422500,796206,311953794,312750000
1945,CAN,4002534,5038280,241370,1137777,112000,10531961,35338,61842,26503,53007,176690,0,0,0,0,0,0,0,0,0,0,115066,115066,0,0,5000,0,0,0,0,0,11000,0,0,666938,10839717,11506655
1950,CAN,4098000,6181650,200560,1300614,444655,12225479,35991,62984,26993,53986,179954,0,0,0,0,0,0,2006,2006,0,0,112006,112006,0,2006,10001,0,1000,0,0,0,14973,50003,128304,1011268,12725732,13737000
1955,CAN,4248720,7338356,314989,1720140,347327,13969532,43432,76006,32574,65148,217160,0,0,0,0,0,0,1003,1003,0,0,446608,446608,0,1003,5000,0,500,0,0,171199,7486,25001,64152,827356,14908644,15736000
