year,name,sumrelig,pop,religions,relpop
1945,USA,139382062,139928000,chrstgen,110265118
1950,USA,151652986,152271008,chrstgen,122994019
1955,USA,162728815,165931000,chrstgen,134001770
1960,USA,179294703,180671000,chrstgen,150234347
1965,USA,194049012,194631000,chrstgen,167515758
1970,USA,200695751,200706000,chrstgen,172867051
1975,USA,215701628,215943000,chrstgen,182810532
1980,USA,225891446,227726000,chrstgen,186649864
1985,USA,238168864,238466000,chrstgen,199787782
1990,USA,249744836,249907000,chrstgen,214425162
1995,USA,262064532,262755000,chrstgen,215593975
2000,USA,278248108,278357000,chrstgen,219818305
2005,USA,295720819,295896000,chrstgen,226464805
2010,USA,311953794,312750000,chrstgen,233111307
1945,CAN,10839717,11506655,chrstgen,10531961
1950,CAN,12725732,13737000,chrstgen,12225479
1955,CAN,14908644,15736000,chrstgen,13969532
1960,CAN,17548194,17909000,chrstgen,16170219
1965,CAN,19269427,19678000,chrstgen,17316559
1970,CAN,19459798,21297000,chrstgen,17889480
1975,CAN,22977559,23142000,chrstgen,20097739
1980,CAN,24259120,24516000,chrstgen,21554382
1985,CAN,25833811,25843000,chrstgen,23296160
1990,CAN,27685700,27701000,chrstgen,24346000
1995,CAN,29033623,29354000,chrstgen,24958842
2000,CAN,31021879,31147000,chrstgen,25571687
2005,CAN,32202025,32300000,chrstgen,26057640
2010,CAN,34464899,34500000,chrstgen,26431104
1975,BHM,171792,189000,chrstgen,164603
1980,BHM,185640,210000,chrstgen,174180
1985,BHM,193700,232000,chrstgen,185700
1990,BHM,215870,255000,chrstgen,209670
1995,BHM,253645,284000,chrstgen,253645
2000,BHM,307354,307500,chrstgen,297045
2005,BHM,324845,325000,chrstgen,313950
2010,BHM,313159,313312,chrstgen,302657
1945,CUB,8517565,4930000,chrstgen,4573565
1950,CUB,9871252,5858000,chrstgen,5184852
1955,CUB,10845166,6426000,chrstgen,5704366
1960,CUB,11812200,7029000,chrstgen,6189000
1965,CUB,12145920,7400000,chrstgen,6225920
1970,CUB,14474800,8546000,chrstgen,6382300
1975,CUB,14436638,8546000,chrstgen,6504238
1980,CUB,16423980,9724000,chrstgen,6921580
1985,CUB,17125520,10098000,chrstgen,7554920
1990,CUB,16688470,10624000,chrstgen,7680210
1995,CUB,17437908,10980000,chrstgen,8524160
2000,CUB,17630500,11201000,chrstgen,8100650
2005,CUB,14661028,11243000,chrstgen,7520095
2010,CUB,14540477,11241161,chrstgen,7407107
1945,HAI,4481500,3090000,chrstgen,2936500
1950,HAI,4492500,3097000,chrstgen,2944000
1955,HAI,4848500,3500000,chrstgen,3098500
1960,HAI,5155000,3804000,chrstgen,3253000
1965,HAI,5814381,4143000,chrstgen,3742881
1970,HAI,6692055,4520000,chrstgen,4235925
1975,HAI,7199236,4920000,chrstgen,4553806
1980,HAI,7845000,5353000,chrstgen,5002500
1985,HAI,8577500,5865000,chrstgen,5125000
1990,HAI,9589942,6486000,chrstgen,5934500
1995,HAI,10216822,7180000,chrstgen,6621510
2000,HAI,13296925,8222000,chrstgen,7377600
2005,HAI,15540200,9410000,chrstgen,7998500
2010,HAI,13382736,9760832,chrstgen,8003882
1945,DOM,1879020,1980000,chrstgen,1879020
1950,DOM,2134278,2240000,chrstgen,2131914
1955,DOM,2491211,2554000,chrstgen,2490952
1960,DOM,3149465,3231000,chrstgen,3149465
1965,DOM,3239450,3350000,chrstgen,3239450
1970,DOM,4050389,4062000,chrstgen,3598539
1975,DOM,4565714,4697000,chrstgen,3949249
1980,DOM,5555175,5697000,chrstgen,4855425
1985,DOM,6123120,6416000,chrstgen,5357360
1990,DOM,6839494,7106114,chrstgen,6044752
1995,DOM,6892000,7170000,chrstgen,6098300
2000,DOM,8189006,8261536,chrstgen,6526613
2005,DOM,9149266,9183984,chrstgen,7484946
2010,DOM,9857180,9956648,chrstgen,8662283
1960,JAM,1602437,1613148,chrstgen,1327363
1965,JAM,1517685,1718031,chrstgen,1332121
1970,JAM,1639371,1810000,chrstgen,1445671
1975,JAM,1734239,1810000,chrstgen,1480069
1980,JAM,1805188,1810000,chrstgen,1514468
1985,JAM,2251210,2311000,chrstgen,1997000
1990,JAM,2356755,2415000,chrstgen,1701798
1995,JAM,2409423,2415000,chrstgen,1754579
2000,JAM,2462096,2583000,chrstgen,1807362
2005,JAM,2513313,2650000,chrstgen,1890680
2010,JAM,2564536,2868630,chrstgen,1974000
1960,TRI,837957,900000,chrstgen,574696
1965,TRI,888127,996844,chrstgen,607342
1970,TRI,938299,971000,chrstgen,639990
1975,TRI,1072929,1176000,chrstgen,741575
1980,TRI,1076400,1082000,chrstgen,712000
1985,TRI,1177820,1178000,chrstgen,727820
1990,TRI,1181785,1215000,chrstgen,760400
1995,TRI,1214758,1260000,chrstgen,776469
2000,TRI,1247735,1295000,chrstgen,792540
2005,TRI,1220223,1294000,chrstgen,754060
2010,TRI,1210710,1305000,chrstgen,729270
1970,BAR,207034,239000,chrstgen,165690
1975,BAR,200377,239000,chrstgen,167765
1980,BAR,191751,249000,chrstgen,167840
1985,BAR,191790,253000,chrstgen,176790
1990,BAR,195807,257000,chrstgen,177173
1995,BAR,245858,264000,chrstgen,183005
2000,BAR,247272,270000,chrstgen,188838
2005,BAR,247940,273000,chrstgen,187296
2010,BAR,248590,288705,chrstgen,185756
1980,DMA,73940,74000,chrstgen,73940
1985,DMA,74000,75000,chrstgen,74000
1990,DMA,69710,72000,chrstgen,69480
1995,DMA,70305,71000,chrstgen,69050
2000,DMA,66337,71000,chrstgen,60965
2005,DMA,68907,72386,chrstgen,64061
2010,DMA,71540,73000,chrstgen,67160
1975,GRN,89950,107800,chrstgen,89800
1980,GRN,92890,109000,chrstgen,92590
1985,GRN,77000,91000,chrstgen,77000
1990,GRN,75257,91000,chrstgen,75257
1995,GRN,80005,91000,chrstgen,77438
2000,GRN,83836,88000,chrstgen,76726
2005,GRN,102677,103000,chrstgen,96820
2010,GRN,100486,108419,chrstgen,94323
1980,SLU,123425,124000,chrstgen,123131
1985,SLU,135000,137000,chrstgen,135000
1990,SLU,132757,133000,chrstgen,131057
1995,SLU,139828,145000,chrstgen,135978
2000,SLU,147132,154000,chrstgen,141130
2005,SLU,154322,165000,chrstgen,146156
2010,SLU,161515,164000,chrstgen,151183
1980,SVG,90093,98000,chrstgen,88650
1985,SVG,92000,102000,chrstgen,92000
1990,SVG,100623,106000,chrstgen,91423
1995,SVG,105135,111000,chrstgen,96441
2000,SVG,111822,114000,chrstgen,98157
2005,SVG,103941,104000,chrstgen,95826
2010,SVG,96063,104000,chrstgen,93496
1980,AAB,55750,63000,chrstgen,53150
1985,AAB,52750,64000,chrstgen,52750
1990,AAB,52446,59355,chrstgen,47650
1995,AAB,57877,61609,chrstgen,52032
2000,AAB,63311,63863,chrstgen,56415
2005,AAB,73930,83000,chrstgen,67920
2010,AAB,84552,86900,chrstgen,79425
1985,SKN,42060,44000,chrstgen,38690
1990,SKN,37580,40500,chrstgen,35517
1995,SKN,40453,43412,chrstgen,36837
2000,SKN,43327,46325,chrstgen,38155
2005,SKN,46986,48000,chrstgen,41839
2010,SKN,50647,50700,chrstgen,45525
1945,MEX,20913774,22230000,chrstgen,20896200
1950,MEX,25677183,27376000,chrstgen,25659609
1955,MEX,25676574,27376000,chrstgen,25659000
1960,MEX,34564713,36322000,chrstgen,34271000
1965,MEX,36878500,38500000,chrstgen,36828500
1970,MEX,50069846,50596000,chrstgen,47914284
1975,MEX,67011110,67580000,chrstgen,63095110
1980,MEX,67273680,67570000,chrstgen,65340680
1985,MEX,73773800,75465000,chrstgen,73529400
1990,MEX,83168300,83226000,chrstgen,80606800
1995,MEX,90408173,90487000,chrstgen,87909596
2000,MEX,98353047,98881000,chrstgen,95812392
2005,MEX,103924008,103947000,chrstgen,97293942
2010,MEX,111998869,112336538,chrstgen,108811290
1980,BLZ,136590,150000,chrstgen,132300
1985,BLZ,146500,166000,chrstgen,144500
1990,BLZ,182200,189000,chrstgen,163920
1995,BLZ,207902,216000,chrstgen,186321
2000,BLZ,214832,241000,chrstgen,192222
2005,BLZ,244229,292000,chrstgen,208096
2010,BLZ,273631,304106,chrstgen,223972
1945,GUA,2317000,2440000,chrstgen,2317000
1950,GUA,2781963,2969000,chrstgen,2781134
1955,GUA,3065206,3258000,chrstgen,3065206
1960,GUA,3807000,3964000,chrstgen,3807000
1965,GUA,4306560,4568000,chrstgen,4306560
1970,GUA,4927273,5246000,chrstgen,4816793
1975,GUA,5540186,6023000,chrstgen,5447596
1980,GUA,6154100,6917000,chrstgen,6078400
1985,GUA,7336275,7963000,chrstgen,7243700
1990,GUA,8621700,9197000,chrstgen,8511300
1995,GUA,9608213,9976000,chrstgen,9576225
2000,GUA,11371710,11385000,chrstgen,11045250
2005,GUA,12615290,12701000,chrstgen,12065950
2010,GUA,13775089,13824463,chrstgen,13133239
1945,HON,1197574,1260000,chrstgen,1197574
1950,HON,1400000,1445000,chrstgen,1400000
1955,HON,1614700,1665000,chrstgen,1614700
1960,HON,1889000,1943000,chrstgen,1889000
1965,HON,1994293,2029955,chrstgen,1994293
1970,HON,2526380,2639000,chrstgen,2474700
1975,HON,3018954,3093000,chrstgen,2976874
1980,HON,3518900,3691000,chrstgen,3479050
1985,HON,4310000,4372000,chrstgen,4295000
1990,HON,5061340,5105000,chrstgen,4919650
1995,HON,5745670,5953000,chrstgen,5624825
2000,HON,6430000,6530000,chrstgen,6330000
2005,HON,7076769,7107000,chrstgen,6587486
2010,HON,7922811,8002039,chrstgen,7121814
1945,SAL,1565906,1740000,chrstgen,1565906
1950,SAL,1693000,1859000,chrstgen,1693000
1955,SAL,1946500,2135000,chrstgen,1946500
1960,SAL,2400000,2578000,chrstgen,2400000
1965,SAL,2730140,2820000,chrstgen,2730140
1970,SAL,3480338,3534000,chrstgen,3462438
1975,SAL,3513907,3534000,chrstgen,3431933
1980,SAL,4457610,4508000,chrstgen,4392100
1985,SAL,4836480,4856000,chrstgen,4637480
1990,SAL,4974630,5031000,chrstgen,4865340
1995,SAL,5609788,5662000,chrstgen,5288450
2000,SAL,6245990,6276000,chrstgen,5711560
2005,SAL,6390944,6397000,chrstgen,5803034
2010,SAL,7040517,7212288,chrstgen,6209779
1945,NIC,912867,923000,chrstgen,912867
1950,NIC,1052000,1052000,chrstgen,1052000
1955,NIC,1213000,1245000,chrstgen,1213000
1960,NIC,1374000,1411000,chrstgen,1374000
1965,NIC,1504181,1541000,chrstgen,1504181
1970,NIC,1929863,2053000,chrstgen,1902333
1975,NIC,2302681,2408000,chrstgen,2268816
1980,NIC,2675500,2771000,chrstgen,2635300
1985,NIC,3253800,3272000,chrstgen,3224000
1990,NIC,3796730,3871000,chrstgen,3716900
1995,NIC,4482839,4539000,chrstgen,4307600
2000,NIC,5169353,5174000,chrstgen,4898300
2005,NIC,5399725,5450000,chrstgen,4907725
2010,NIC,5768109,5821815,chrstgen,5242544
1945,COS,680000,700000,chrstgen,680000
1950,COS,773000,800000,chrstgen,773000
1955,COS,985500,1028000,chrstgen,985500
1960,COS,1198000,1254000,chrstgen,1198000
1965,COS,1236000,1272677,chrstgen,1236000
1970,COS,1675466,1727000,chrstgen,1651066
1975,COS,1958948,1968000,chrstgen,1927108
1980,COS,2244930,2245000,chrstgen,2205650
1985,COS,2521600,2642000,chrstgen,2498000
1990,COS,2777800,2805000,chrstgen,2620600
1995,COS,3265878,3333000,chrstgen,3097950
2000,COS,4003205,4023000,chrstgen,3771380
2005,COS,4240940,4266000,chrstgen,4057108
2010,COS,4412549,4450000,chrstgen,3925741
1945,PAN,700400,703000,chrstgen,700400
1950,PAN,787000,795000,chrstgen,787000
1955,PAN,936540,946000,chrstgen,936540
1960,PAN,1113440,1126000,chrstgen,1113440
1965,PAN,1301880,1303000,chrstgen,1256930
1970,PAN,1496322,1506000,chrstgen,1415422
1975,PAN,1606770,1723000,chrstgen,1605770
1980,PAN,1942829,1950000,chrstgen,1877766
1985,PAN,2063280,2167000,chrstgen,2063280
1990,PAN,2396081,2398000,chrstgen,2292500
