year,state,name,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,chrstgen,judorth,jdcons,judref,judothr,judgen,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,islmgen,budmah,budthr,budothr,budgen,zorogen,hindgen,sikhgen,shntgen,bahgen,taogen,jaingen,confgen,syncgen,anmgen,nonrelig,othrgen,sumrelig,pop,chrstprotpct,chrstcatpct,chrstorthpct,chrstangpct,chrstothrpct,chrstgenpct,judorthpct,judconspct,judrefpct,judothrpct,judgenpct,islmsunpct,islmshipct,islmibdpct,islmnatpct,islmalwpct,islmahmpct,islmothrpct,islmgenpct,budmahpct,budthrpct,budothrpct,budgenpct,zorogenpct,hindgenpct,sikhgenpct,shntgenpct,bahgenpct,taogenpct,jaingenpct,confgenpct,syncgenpct,anmgenpct,nonreligpct,othrgenpct,sumreligpct,total,dualrelig,datatype,sourcereliab,recreliab,reliabilevel,Version,sourcecode
1960,520,SOM,716,9875,66,562,0,11219,0,0,0,0,0,3765000,0,0,0,0,0,0,3765000,0,0,0,0,0,682,0,0,861,0,0,0,0,0,6386,852,3784148,3785000,0.0002,0.0026,0,0.0001,0,0.003,0,0,0,0,0,0.9947,0,0,0,0,0,0,0.9947,0,0,0,0,0,0.0002,0,0,0.0002,0,0,0,0,0,0.0017,0.0002,0.9998,1,0,13,9,24,Medium,1.1,2
1965,520,SOM,724,8085,148,386,0,9343,0,0,0,0,0,4209000,0,0,0,0,0,0,4209000,0,0,0,0,0,674,0,0,894,0,0,0,0,0,5528,13561,4225439,4239000,0.0002,0.0019,0,0.0001,0,0.0022,0,0,0,0,0,0.9929,0,0,0,0,0,0,0.9929,0,0,0,0,0,0.0002,0,0,0.0002,0,0,0,0,0,0.0013,0.0032,0.9968,1,0,13,9,24,Medium,1.1,2
1970,520,SOM,733,5078,332,266,107,6516,0,0,0,0,0,4778000,0,0,0,0,0,0,4778000,0,0,0,0,0,666,0,0,929,0,0,0,0,0,4786,103,4790897,4791000,0.0002,0.0011,0.0001,0.0001,0,0.0014,0,0,0,0,0,0.9973,0,0,0,0,0,0,0.9973,0,0,0,0,0,0.0001,0,0,0.0002,0,0,0,0,0,0.001,0,1,1,0,13,4,10,Medium,1.1,7
1975,520,SOM,741,3189,743,183,1619,6475,0,0,0,0,0,5401000,0,0,0,0,0,0,5401000,0,0,0,0,0,658,0,0,964,0,0,0,0,2050,4143,55710,5415290,5471000,0.0001,0.0006,0.0001,0,0.0003,0.0012,0,0,0,0,0,0.9872,0,0,0,0,0,0,0.9872,0,0,0,0,0,0.0001,0,0,0.0002,0,0,0,0,0.0004,0.0008,0.0102,0.9898,1.0001,0,3,99,35,Low,1.1,99
1980,520,SOM,750,1300,1154,100,3132,6436,0,0,0,0,0,6695000,0,0,0,0,0,0,6695000,0,0,0,0,0,650,0,0,1000,0,0,0,0,4100,3500,2314,6710686,6713000,0.0001,0.0002,0.0002,0,0.0005,0.001,0,0,0,0,0,0.9973,0,0,0,0,0,0,0.9973,0,0,0,0,0,0.0001,0,0,0.0001,0,0,0,0,0.0006,0.0005,0.0003,0.9997,0.9999,0,134,4,10,Medium,1.1,7
1985,520,SOM,875,900,1565,62,2994,6396,0,0,0,0,0,7647500,0,0,0,0,0,157500,7805000,0,0,0,0,0,1525,0,0,1050,0,0,0,0,6150,3200,51679,7823321,7875000,0.0001,0.0001,0.0002,0,0.0004,0.0008,0,0,0,0,0,0.9711,0,0,0,0,0,0.02,0.9911,0,0,0,0,0,0.0002,0,0,0.0001,0,0,0,0,0.0008,0.0004,0.0066,0.9934,1,0,134,9,28,Low,1.1,2
1990,520,SOM,1000,500,1975,25,2857,6357,0,0,0,0,0,8424750,0,0,0,0,0,148250,8573000,0,0,0,0,0,2400,0,0,1100,0,0,0,0,8200,2900,29043,8593957,8623000,0.0001,0.0001,0.0002,0,0.0003,0.0007,0,0,0,0,0,0.977,0,0,0,0,0,0.0172,0.9942,0,0,0,0,0,0.0003,0,0,0.0001,0,0,0,0,0.001,0.0003,0.0034,0.9966,1,0,134,4,10,Medium,1.1,7
1995,520,SOM,1666,339,2386,166,1760,6317,0,0,0,0,0,9142000,0,0,0,0,0,259000,9401000,0,0,0,0,0,4027,0,0,1989,0,0,0,0,8022,3686,65959,9425041,9491000,0.0002,0,0.0003,0,0.0002,0.0007,0,0,0,0,0,0.9632,0,0,0,0,0,0.0273,0.9905,0,0,0,0,0,0.0004,0,0,0.0002,0,0,0,0,0.0008,0.0004,0.0069,0.9931,0.9999,0,13,9,24,Medium,1.1,2
2000,520,SOM,2332,178,2797,307,663,6277,0,0,0,0,0,9945545,100970,0,0,0,0,0,10046515,0,0,0,0,0,5654,0,0,2878,0,0,0,0,7845,4473,23358,10073642,10097000,0.0002,0,0.0003,0,0.0001,0.0006,0,0,0,0,0,0.985,0.01,0,0,0,0,0,0.995,0,0,0,0,0,0.0006,0,0,0.0003,0,0,0,0,0.0008,0.0004,0.0023,0.9977,1,0,24,5,20,Medium,1.1,83
2005,520,SOM,1771,130,1896,220,492,4509,0,0,0,0,0,8228690,75186,0,0,0,0,0,8303876,0,0,0,0,0,4737,0,0,1554,0,0,0,0,6274,4185,28865,8325135,8354000,0.0002,0,0.0002,0,0.0001,0.0005,0,0,0,0,0,0.985,0.009,0,0,0,0,0,0.994,0,0,0,0,0,0.0006,0,0,0.0002,0,0,0,0,0.0008,0.0005,0.0035,0.9965,1.0001,0,24,5,20,Medium,1.1,83
2010,520,SOM,1819,100,1698,220,496,4333,0,0,0,0,0,9190389,93303,0,0,0,0,0,9283692,0,0,0,0,0,5225,0,0,2678,0,0,0,0,6820,4087,23510,9306835,9330345,0.0002,0,0.0002,0,0.0001,0.0005,0,0,0,0,0,0.985,0.01,0,0,0,0,0,0.995,0,0,0,0,0,0.0006,0,0,0.0003,0,0,0,0,0.0007,0.0004,0.0025,0.9975,1,0,24,5,20,Medium,1.1,83
